mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
409371,"Ladoga silt loam, 5 to 9 percent slopes",Ladoga,85,Moderately well drained,0,18,3.0,6.6,0.2,25.0,2.0,73.0,1.33,20.8,FIELD_0017
409372,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,0,15,2.5,6.6,0.2,25.0,2.0,73.0,1.33,20.7,FIELD_0017
409279,"Colo silty clay loam, 2 to 5 percent slopes, occasionally flooded",Colo,85,Poorly drained,0,20,5.0,6.5,0.16,30.0,6.0,64.0,1.29,25.5,FIELD_0017
409379,"Clinton silt loam, 9 to 14 percent slopes, eroded",Clinton,85,Moderately well drained,0,15,2.0,6.3,0.19,22.0,3.0,75.0,1.35,18.4,FIELD_0017
409372,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,15,25,1.0,6.0,0.19,28.0,2.0,70.0,1.36,22.1,FIELD_0017
409379,"Clinton silt loam, 9 to 14 percent slopes, eroded",Clinton,85,Moderately well drained,15,28,1.0,5.6,0.19,28.0,3.0,69.0,1.35,22.1,FIELD_0017
409337,"Ossian silt loam, 0 to 2 percent slopes",Ossian,85,Poorly drained,18,152,2.5,7.2,0.21,28.0,7.1,64.9,1.35,33.0,FIELD_0017
409291,"Nodaway silt loam, 0 to 2 percent slopes",Nodaway,85,Moderately well drained,18,79,0.25,6.7,0.22,23.0,7.0,70.0,1.3,22.5,FIELD_0017
409371,"Ladoga silt loam, 5 to 9 percent slopes",Ladoga,85,Moderately well drained,18,25,2.0,6.1,0.19,24.0,2.0,74.0,1.4,19.8,FIELD_0017
409279,"Colo silty clay loam, 2 to 5 percent slopes, occasionally flooded",Colo,85,Poorly drained,20,36,3.5,6.5,0.17,30.0,6.0,64.0,1.31,25.1,FIELD_0017
409371,"Ladoga silt loam, 5 to 9 percent slopes",Ladoga,85,Moderately well drained,25,36,1.0,6.0,0.19,28.0,2.0,70.0,1.36,22.1,FIELD_0017
409372,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,25,48,0.75,5.7,0.18,33.0,2.0,65.0,1.42,25.3,FIELD_0017
409379,"Clinton silt loam, 9 to 14 percent slopes, eroded",Clinton,85,Moderately well drained,28,41,0.75,5.4,0.18,33.0,2.0,65.0,1.4,,FIELD_0017
409317,"Nodaway-Alluvial land complex, 0 to 2 percent slopes",Nodaway,60,Moderately well drained,0,18,3.0,6.7,0.22,22.5,7.5,70.0,1.3,22.5,FIELD_0017
409317,"Nodaway-Alluvial land complex, 0 to 2 percent slopes",Nodaway,60,Moderately well drained,18,79,0.25,6.7,0.22,23.0,7.0,70.0,1.3,22.5,FIELD_0017
409272,"Colo-Ely complex, 0 to 5 percent slopes",Colo,50,Poorly drained,0,20,5.0,6.5,0.16,30.0,6.0,64.0,1.29,25.5,FIELD_0017
409272,"Colo-Ely complex, 0 to 5 percent slopes",Colo,50,Poorly drained,20,36,3.5,6.5,0.17,30.0,6.0,64.0,1.31,25.1,FIELD_0017
409272,"Colo-Ely complex, 0 to 5 percent slopes",Ely,40,Somewhat poorly drained,0,20,5.0,6.5,0.17,28.0,4.0,68.0,1.31,23.9,FIELD_0017
409272,"Colo-Ely complex, 0 to 5 percent slopes",Ely,40,Somewhat poorly drained,20,61,3.5,6.5,0.17,28.0,4.0,68.0,1.28,23.6,FIELD_0017
409317,"Nodaway-Alluvial land complex, 0 to 2 percent slopes",Alluvial land,30,Excessively drained,0,18,1.25,6.5,0.08,6.0,92.1,1.9,1.53,7.5,FIELD_0017
409317,"Nodaway-Alluvial land complex, 0 to 2 percent slopes",Alluvial land,30,Excessively drained,18,66,0.25,6.7,0.16,11.5,90.7,,1.55,12.5,FIELD_0017
